DD/MM/YYYY HH:MM, Saturation, Watering
25/06/2020 22:12, 95.6, False, False
25/06/2020 22:39, 95.6, False, False
25/06/2020 22:47, 95.6, False, False
25/06/2020 23:45, 95.6, False, False
25/06/2020 23:45, 95.6, False, False
25/06/2020 23:45, 95.6, False, False
25/06/2020 23:46, 95.8, False, False
25/06/2020 23:50, 95.6, False, False
25/06/2020 23:52, 95.6, False, False
25/06/2020 23:52, 95.6, False, False
25/06/2020 23:52, 95.6, False, False
25/06/2020 23:52, 95.6, False, False
25/06/2020 23:52, 95.6, False, False
25/06/2020 23:54, 95.6, False, False
25/06/2020 23:56, 95.6, False, False
26/06/2020 00:04, 95.8, False, False
26/06/2020 00:06, 95.8, False, False
26/06/2020 00:11, 95.6, False, False
26/06/2020 00:12, 95.8, False, False
26/06/2020 00:12, 95.6, False, False
26/06/2020 00:13, 95.6, False, False
26/06/2020 00:14, 95.6, False, False
26/06/2020 00:14, 95.6, False, False
26/06/2020 00:14, 95.8, False, False
26/06/2020 00:15, 95.6, False, False
26/06/2020 00:26, 95.6, False, False
26/06/2020 00:26, 95.6, False, False
26/06/2020 00:41, 95.6, False, False
26/06/2020 00:56, 95.6, False, False
26/06/2020 01:11, 95.6, False, False
26/06/2020 01:26, 95.6, False, False
26/06/2020 01:41, 95.6, False, False
26/06/2020 01:56, 95.6, False, False
26/06/2020 02:11, 95.6, False, False
26/06/2020 02:26, 95.6, False, False
26/06/2020 02:41, 95.6, False, False
26/06/2020 02:56, 95.6, False, False
26/06/2020 03:11, 95.6, False, False
26/06/2020 03:26, 95.6, False, False
26/06/2020 03:41, 95.6, False, False
26/06/2020 03:56, 95.6, False, False
26/06/2020 04:11, 95.3, False, False
26/06/2020 04:26, 95.6, False, False
26/06/2020 04:41, 95.6, False, False
26/06/2020 04:56, 95.3, False, False
26/06/2020 05:11, 95.6, False, False
26/06/2020 05:26, 95.6, False, False
26/06/2020 05:41, 95.3, False, False
26/06/2020 05:56, 95.3, False, False
26/06/2020 06:11, 95.3, False, False
26/06/2020 06:26, 95.3, False, False
26/06/2020 06:41, 95.3, False, False
26/06/2020 06:56, 95.3, False, False
26/06/2020 07:11, 95.3, False, False
26/06/2020 07:26, 95.3, False, False
26/06/2020 07:41, 95.3, False, False
26/06/2020 07:56, 95.1, False, False
26/06/2020 08:11, 95.3, False, False
26/06/2020 08:26, 95.3, False, False
26/06/2020 08:41, 95.3, False, False
26/06/2020 08:56, 95.1, False, False
26/06/2020 09:11, 95.3, False, False
26/06/2020 09:26, 95.3, False, False
26/06/2020 09:41, 95.1, False, False
26/06/2020 09:56, 95.1, False, False
26/06/2020 10:11, 95.1, False, False
26/06/2020 10:26, 95.1, False, False
26/06/2020 10:41, 95.1, False, False
26/06/2020 10:56, 95.1, False, False
26/06/2020 11:11, 95.1, False, False
26/06/2020 11:26, 95.1, False, False
26/06/2020 11:41, 95.1, False, False
26/06/2020 11:56, 95.1, False, False
26/06/2020 12:11, 95.3, False, False
26/06/2020 12:26, 95.3, False, False
26/06/2020 12:41, 95.1, False, False
26/06/2020 12:48, 95.1, False, False
26/06/2020 12:48, 95.1, False, False
26/06/2020 12:55, 95.1, False, False
26/06/2020 13:07, 94.8, False, False
26/06/2020 13:07, 94.8, False, False
26/06/2020 13:09, 95.1, False, False
26/06/2020 13:24, 95.1, False, False
26/06/2020 13:29, 94.8, False, False
26/06/2020 13:34, 95.1, False, False
26/06/2020 13:38, 94.8, False, False
26/06/2020 13:39, 94.8, False, False
26/06/2020 13:43, 94.8, False, False
26/06/2020 13:45, 94.8, False, False
26/06/2020 13:47, 94.8, False, False
26/06/2020 13:48, 94.8, False, False
26/06/2020 13:48, 95.1, False, False
26/06/2020 13:55, 94.8, False, False
26/06/2020 13:56, 95.1, False, False
26/06/2020 14:12, 94.8, False, False
26/06/2020 14:27, 94.8, False, False
26/06/2020 14:30, 94.0, False, False
